2017-02-26 11:45:50,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:50,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:51,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:51,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:52,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:52,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:53,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:53,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:54,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:54,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:55,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:55,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:56,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:56,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:57,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:57,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:58,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.02, 'heading': 0.0}
2017-02-26 11:45:58,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.03, 'heading': 0.0}
2017-02-26 11:45:59,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.02, 'heading': 0.0}
2017-02-26 11:45:59,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:00,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:00,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:46:01,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.02, 'heading': 0.0}
2017-02-26 11:46:01,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.03, 'heading': 0.0}
2017-02-26 11:46:02,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.03, 'heading': 0.0}
2017-02-26 11:46:02,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.03, 'heading': 0.0}
2017-02-26 11:46:03,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.02, 'heading': 0.0}
2017-02-26 11:46:03,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:46:04,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
