0,0
10,0.2
15,0.33
20,0.5
25,0.75
30,1.15
35,1.65
40,2.3
45,3.1
50,4.05
55,5.15
60,6.5
65,8
70,9.8
75,11.7
80,13.7
85,16.1
90,18.6
95,19
100,20.1
